transaction_id,week_start,zip_code,price_band,list_price,accepted_offer_price,offer_to_list_ratio,days_on_market,inspection_waived,appraisal_gap,seller_credit,offer_count
OI-1000,2025-01-01,20011,$300K-$500K,650000,685000,1.054,18,0,15000,0,1
OI-1001,2025-01-08,20011,$300K-$500K,425000,415000,0.976,15,1,0,0,3
OI-1002,2025-01-15,20720,$500K-$750K,425000,433000,1.019,1,0,5000,0,4
OI-1003,2025-01-22,20910,$1M+,425000,435000,1.024,21,1,5000,5000,2
OI-1004,2025-01-29,22314,$750K-$1M,550000,536000,0.975,18,0,0,15000,2
OI-1005,2025-02-05,20720,$300K-$500K,550000,580000,1.055,22,0,5000,5000,4
OI-1006,2025-02-12,20011,$300K-$500K,825000,796000,0.965,18,1,5000,10000,6
OI-1007,2025-02-19,22314,$300K-$500K,825000,815000,0.988,8,0,10000,10000,6
OI-1008,2025-02-26,20010,$1M+,550000,552000,1.004,20,1,5000,10000,2
OI-1009,2025-03-05,20010,$1M+,550000,541000,0.984,15,0,0,15000,5
OI-1010,2025-03-12,22314,$1M+,1125000,1169000,1.039,1,0,0,0,6
OI-1011,2025-03-19,20011,$500K-$750K,425000,425000,1.0,23,0,0,0,4
OI-1012,2025-03-26,22314,$1M+,650000,655000,1.008,13,0,0,5000,5
OI-1013,2025-04-02,20010,$300K-$500K,1125000,1201000,1.068,19,0,25000,5000,4
OI-1014,2025-04-09,20910,$750K-$1M,650000,679000,1.045,18,0,0,10000,5
OI-1015,2025-04-16,20011,$750K-$1M,975000,983000,1.008,13,0,10000,5000,6
OI-1016,2025-04-23,22201,$500K-$750K,550000,531000,0.965,1,0,10000,5000,5
OI-1017,2025-04-30,20720,$500K-$750K,1125000,1094000,0.972,13,0,0,10000,3
OI-1018,2025-05-07,20010,$300K-$500K,425000,436000,1.026,18,1,25000,5000,1
OI-1019,2025-05-14,20010,$1M+,425000,437000,1.028,6,0,5000,15000,3
OI-1020,2025-05-21,20910,$1M+,1125000,1118000,0.994,8,0,10000,0,5
OI-1021,2025-05-28,20720,$300K-$500K,550000,535000,0.973,15,1,0,15000,3
OI-1022,2025-06-04,20910,$500K-$750K,425000,426000,1.002,18,1,15000,0,9
OI-1023,2025-06-11,22314,$300K-$500K,650000,635000,0.977,11,0,10000,0,2
OI-1024,2025-01-01,20720,$750K-$1M,425000,441000,1.038,24,1,0,0,1
OI-1025,2025-01-08,22201,$750K-$1M,975000,975000,1.0,5,0,15000,10000,3
OI-1026,2025-01-15,20011,$300K-$500K,650000,657000,1.011,19,0,10000,5000,3
OI-1027,2025-01-22,20011,$750K-$1M,975000,999000,1.025,12,0,25000,0,5
OI-1028,2025-01-29,20910,$1M+,550000,553000,1.005,21,0,0,15000,6
OI-1029,2025-02-05,22201,$500K-$750K,550000,541000,0.984,8,0,5000,5000,4
OI-1030,2025-02-12,20011,$1M+,975000,962000,0.987,18,1,15000,5000,1
OI-1031,2025-02-19,22201,$300K-$500K,1125000,1154000,1.026,28,1,0,0,7
OI-1032,2025-02-26,20011,$1M+,650000,669000,1.029,8,0,5000,5000,4
OI-1033,2025-03-05,22201,$1M+,650000,643000,0.989,6,0,0,15000,5
OI-1034,2025-03-12,22314,$300K-$500K,425000,407000,0.958,6,0,15000,15000,5
