participant_id,referral_date,county,primary_barrier,monthly_income,housing_goal,placed,days_to_placement,retained_90_days
H-1000,2026-03-05,Montgomery,credit,1600,rent,1,66.0,1
H-1001,2026-02-26,Frederick,income,2500,voucher,0,,0
H-1002,2026-04-21,Howard,credit,2100,rent,1,117.0,1
H-1003,2026-02-15,Frederick,documentation,2500,shared housing,1,93.0,1
H-1004,2026-05-28,Montgomery,documentation,1600,rent,1,21.0,0
H-1005,2026-03-04,Montgomery,accessibility,1200,shared housing,0,,0
H-1006,2026-01-23,Frederick,documentation,2500,voucher,1,109.0,1
H-1007,2026-05-15,Howard,transportation,2100,shared housing,0,,0
H-1008,2026-05-09,Montgomery,documentation,3100,voucher,1,86.0,1
H-1009,2026-05-12,Prince George's,income,3100,shared housing,1,83.0,1
H-1010,2026-05-20,Prince George's,voucher_waitlist,1600,voucher,1,120.0,0
H-1011,2026-02-13,Frederick,income,1200,shared housing,1,65.0,1
H-1012,2026-02-04,Frederick,credit,3100,voucher,1,106.0,0
H-1013,2026-05-12,Howard,documentation,1600,voucher,1,38.0,1
H-1014,2026-05-31,Montgomery,voucher_waitlist,2100,voucher,1,63.0,1
H-1015,2026-04-29,Montgomery,documentation,1600,rent,1,47.0,1
H-1016,2026-05-05,Montgomery,accessibility,1600,voucher,1,26.0,0
H-1017,2026-03-21,Prince George's,accessibility,2100,homeownership readiness,1,35.0,1
H-1018,2026-03-16,Montgomery,income,950,homeownership readiness,1,92.0,1
H-1019,2026-01-22,Howard,income,3100,homeownership readiness,1,115.0,1
H-1020,2026-05-06,Howard,income,1600,rent,1,90.0,1
H-1021,2026-03-06,Prince George's,documentation,950,rent,1,31.0,1
H-1022,2026-02-07,Prince George's,documentation,2500,voucher,1,68.0,0
H-1023,2026-03-21,Prince George's,documentation,1600,shared housing,1,69.0,1
H-1024,2026-04-05,Howard,accessibility,1200,rent,1,91.0,0
H-1025,2026-01-28,Prince George's,transportation,2100,homeownership readiness,1,27.0,1
H-1026,2026-03-18,Prince George's,documentation,1200,voucher,0,,0
H-1027,2026-02-05,Frederick,income,950,homeownership readiness,1,102.0,1
H-1028,2026-02-18,Howard,income,950,homeownership readiness,1,113.0,1
H-1029,2026-03-14,Montgomery,voucher_waitlist,3100,homeownership readiness,0,,0
H-1030,2026-03-28,Frederick,income,3100,voucher,0,,0
H-1031,2026-02-12,Montgomery,transportation,2500,shared housing,1,58.0,1
H-1032,2026-05-01,Howard,voucher_waitlist,2100,homeownership readiness,0,,0
H-1033,2026-05-17,Montgomery,income,3100,shared housing,1,72.0,1
H-1034,2026-05-25,Frederick,documentation,3100,voucher,1,68.0,1
H-1035,2026-03-29,Prince George's,credit,3100,homeownership readiness,0,,0
H-1036,2026-01-22,Howard,voucher_waitlist,2500,homeownership readiness,1,105.0,1
H-1037,2026-05-16,Frederick,transportation,1600,rent,1,93.0,1
H-1038,2026-02-16,Montgomery,credit,1600,rent,1,91.0,1
H-1039,2026-05-16,Frederick,credit,2500,homeownership readiness,1,111.0,1
H-1040,2026-05-19,Montgomery,transportation,3100,rent,0,,0
H-1041,2026-04-23,Montgomery,documentation,3100,rent,1,85.0,1
H-1042,2026-04-11,Frederick,income,1200,shared housing,1,45.0,0
H-1043,2026-04-14,Howard,income,950,voucher,1,27.0,1
H-1044,2026-03-18,Prince George's,transportation,950,voucher,0,,0
H-1045,2026-05-25,Howard,credit,1600,shared housing,0,,0
H-1046,2026-01-03,Prince George's,accessibility,2500,shared housing,1,36.0,1
H-1047,2026-01-12,Howard,voucher_waitlist,1600,rent,1,33.0,0
H-1048,2026-03-04,Prince George's,documentation,2100,rent,1,66.0,1
H-1049,2026-01-30,Frederick,income,950,shared housing,0,,0
H-1050,2026-02-17,Howard,documentation,3100,homeownership readiness,1,91.0,1
H-1051,2026-05-31,Howard,transportation,950,rent,1,89.0,1
