month,property_id,market,total_units,occupied_units,occupancy_rate,renewal_rate,delinquency_rate,maintenance_tickets,avg_days_to_turn,monthly_revenue
2025-01-01,P-101,DC,125,120,0.96,0.585,0.106,62,26,269880
2025-01-01,P-202,Maryland,100,97,0.97,0.669,0.053,116,31,169944
2025-01-01,P-303,Maryland,125,115,0.92,0.769,0.052,74,25,181930
2025-01-01,P-404,Maryland,80,78,0.975,0.707,0.026,51,17,118716
2025-02-01,P-101,Northern VA,65,62,0.954,0.656,0.057,107,31,140120
2025-02-01,P-202,Maryland,65,57,0.877,0.675,0.062,80,20,110238
2025-02-01,P-303,Northern VA,80,77,0.963,0.657,0.032,26,28,129899
2025-02-01,P-404,DC,80,73,0.912,0.8,0.046,67,31,134758
2025-03-01,P-101,DC,125,111,0.888,0.779,0.071,26,10,217338
2025-03-01,P-202,DC,65,62,0.954,0.702,0.025,112,13,135036
2025-03-01,P-303,DC,100,92,0.92,0.699,0.087,99,11,171672
2025-03-01,P-404,DC,65,62,0.954,0.637,0.037,25,12,124062
2025-04-01,P-101,DC,100,93,0.93,0.635,0.043,63,24,172422
2025-04-01,P-202,Northern VA,125,118,0.944,0.632,0.098,80,24,202134
2025-04-01,P-303,DC,100,90,0.9,0.606,0.079,84,28,175500
2025-04-01,P-404,Northern VA,80,73,0.912,0.604,0.103,96,28,109646
2025-05-01,P-101,DC,100,88,0.88,0.66,0.071,66,8,152240
2025-05-01,P-202,Northern VA,80,76,0.95,0.604,0.039,100,26,145540
2025-05-01,P-303,Northern VA,125,121,0.968,0.605,0.038,48,20,254584
2025-05-01,P-404,DC,65,57,0.877,0.77,0.065,26,30,115368
2025-06-01,P-101,Maryland,80,74,0.925,0.745,0.087,52,24,119288
2025-06-01,P-202,Maryland,80,76,0.95,0.606,0.029,37,13,171228
2025-06-01,P-303,Northern VA,65,63,0.969,0.61,0.095,115,21,135576
2025-06-01,P-404,DC,125,111,0.888,0.799,0.032,45,21,194250
2025-07-01,P-101,Northern VA,80,77,0.963,0.741,0.085,64,15,137214
2025-07-01,P-202,Maryland,80,71,0.887,0.815,0.055,29,17,130569
2025-07-01,P-303,DC,80,75,0.938,0.727,0.082,50,21,120150
2025-07-01,P-404,Maryland,80,73,0.912,0.658,0.023,70,10,154979
2025-08-01,P-101,Maryland,80,78,0.975,0.692,0.046,69,7,173004
2025-08-01,P-202,DC,125,121,0.968,0.604,0.045,63,26,247687
2025-08-01,P-303,Northern VA,65,58,0.892,0.623,0.1,54,25,101906
2025-08-01,P-404,DC,65,60,0.923,0.811,0.051,44,28,105420
2025-09-01,P-101,Northern VA,65,58,0.892,0.671,0.042,120,18,94714
2025-09-01,P-202,Northern VA,65,62,0.954,0.768,0.085,83,10,137268
2025-09-01,P-303,Maryland,65,62,0.954,0.656,0.023,30,23,126666
2025-09-01,P-404,Maryland,65,59,0.908,0.586,0.072,70,9,108147
2025-10-01,P-101,Maryland,80,73,0.912,0.804,0.05,107,22,128480
2025-10-01,P-202,DC,80,72,0.9,0.787,0.031,88,15,143856
2025-10-01,P-303,DC,65,59,0.908,0.594,0.068,89,15,107675
2025-10-01,P-404,Maryland,80,72,0.9,0.605,0.031,55,30,143784
2025-11-01,P-101,DC,80,77,0.963,0.579,0.025,114,25,128205
2025-11-01,P-202,DC,80,71,0.887,0.591,0.044,28,20,131492
2025-11-01,P-303,DC,65,59,0.908,0.573,0.072,54,14,121481
2025-11-01,P-404,DC,65,62,0.954,0.712,0.108,30,13,129146
2025-12-01,P-101,Northern VA,80,76,0.95,0.573,0.088,100,12,111036
2025-12-01,P-202,Northern VA,100,97,0.97,0.762,0.023,56,11,213497
2025-12-01,P-303,Northern VA,80,71,0.887,0.758,0.038,53,28,127019
2025-12-01,P-404,Northern VA,65,63,0.969,0.56,0.067,67,9,139797
2026-01-01,P-101,Maryland,65,58,0.892,0.564,0.053,77,9,122728
2026-01-01,P-202,Northern VA,100,93,0.93,0.732,0.087,42,15,213714
2026-01-01,P-303,Maryland,100,97,0.97,0.676,0.091,112,25,156946
