applicant_id,annual_income,credit_score,debt_to_income,loan_to_value,loan_amount,employment_years,default_risk
CR-1000,106980,737,0.51,0.93,390537,16,1
CR-1001,147832,643,0.53,0.71,507126,1,0
CR-1002,118975,756,0.3,0.89,376236,8,0
CR-1003,82554,803,0.54,0.67,639587,12,0
CR-1004,56211,745,0.45,0.75,675511,8,1
CR-1005,56741,790,0.26,0.79,347612,10,1
CR-1006,47760,800,0.24,0.84,260176,8,1
CR-1007,93333,762,0.33,0.8,306978,8,0
CR-1008,100937,581,0.49,0.8,500430,11,1
CR-1009,120924,695,0.56,0.96,253261,17,1
CR-1010,54635,771,0.48,0.91,501857,5,0
CR-1011,126511,620,0.25,0.89,538345,12,1
CR-1012,93454,732,0.38,0.73,330386,17,0
CR-1013,138424,707,0.39,0.65,249153,13,0
CR-1014,50754,680,0.38,0.81,404329,18,1
CR-1015,137519,627,0.29,0.66,704886,3,0
CR-1016,159746,577,0.29,0.87,481450,4,1
CR-1017,126863,756,0.46,0.83,250581,19,0
CR-1018,121278,699,0.51,0.82,504274,3,0
CR-1019,89152,600,0.45,0.73,722396,2,1
CR-1020,57969,726,0.52,0.68,325502,14,1
CR-1021,78052,788,0.38,0.82,221529,17,0
CR-1022,150447,807,0.37,0.68,527116,16,0
CR-1023,116508,666,0.27,0.7,413818,5,0
CR-1024,45718,697,0.5,0.76,467030,2,0
CR-1025,118666,759,0.22,0.79,417273,1,1
CR-1026,147404,728,0.33,0.84,254849,20,0
CR-1027,104636,780,0.41,0.77,380001,10,1
CR-1028,122699,766,0.26,0.66,260163,16,0
CR-1029,44166,661,0.36,0.89,458509,6,0
CR-1030,115435,711,0.48,0.88,196542,2,0
CR-1031,88387,566,0.26,0.91,552644,20,0
CR-1032,63449,721,0.41,0.97,290373,1,0
CR-1033,138910,741,0.25,0.76,657161,3,0
CR-1034,86949,638,0.22,0.73,689629,2,1
CR-1035,161501,723,0.32,0.78,294154,16,0
CR-1036,115848,759,0.28,0.68,202249,6,0
CR-1037,135089,783,0.29,0.89,348773,13,1
CR-1038,59541,616,0.24,0.68,208944,0,1
CR-1039,148588,604,0.51,0.77,225351,6,1
CR-1040,158525,596,0.41,0.92,664193,15,0
CR-1041,142785,665,0.44,0.6,551815,12,0
CR-1042,157421,624,0.22,0.95,658577,18,1
CR-1043,118747,785,0.55,0.88,673521,5,0
CR-1044,94457,682,0.44,0.87,674627,19,1
CR-1045,60582,814,0.23,0.82,430191,7,0
CR-1046,42642,674,0.34,0.83,434407,3,0
CR-1047,161012,560,0.57,0.61,231045,12,1
CR-1048,73516,672,0.56,0.89,613836,8,0
CR-1049,47416,569,0.24,0.78,281266,5,0
CR-1050,60776,643,0.5,0.83,290934,16,0
CR-1051,145147,755,0.56,0.94,182372,2,1
CR-1052,153596,603,0.19,0.79,236872,17,0
CR-1053,122620,763,0.3,0.85,205241,5,0
CR-1054,150745,794,0.38,0.68,629889,3,0
CR-1055,122305,740,0.57,0.85,430537,3,0
CR-1056,53768,714,0.33,0.71,335003,15,0
CR-1057,121485,731,0.41,0.88,262684,2,0
CR-1058,47708,669,0.23,0.79,607182,19,1
CR-1059,117302,600,0.44,0.94,241765,0,1
CR-1060,129834,780,0.45,0.9,368546,19,0
CR-1061,80452,628,0.36,0.69,545411,0,0
CR-1062,84521,643,0.33,0.76,521798,8,1
CR-1063,147332,771,0.28,0.8,421990,17,0
CR-1064,158166,728,0.32,0.6,539266,2,0
CR-1065,111732,578,0.24,0.91,625645,20,0
CR-1066,86165,622,0.33,0.96,401782,16,0
CR-1067,48999,685,0.44,0.95,724031,20,1
CR-1068,53749,671,0.44,0.71,452828,13,0
CR-1069,135822,650,0.23,0.83,478116,12,0
CR-1070,74570,574,0.32,0.63,452126,19,0
CR-1071,127977,632,0.44,0.84,251231,12,1
CR-1072,81832,594,0.21,0.8,559061,2,0
CR-1073,60642,812,0.4,0.84,651890,5,0
CR-1074,159951,715,0.22,0.75,646540,3,0
CR-1075,154893,735,0.55,0.72,212188,12,0
CR-1076,150627,614,0.49,0.92,547791,10,1
CR-1077,78392,657,0.43,0.63,345712,18,0
CR-1078,82890,652,0.44,0.62,281819,1,1
CR-1079,92202,605,0.28,0.81,245068,2,0
CR-1080,80782,626,0.19,0.95,561297,17,0
CR-1081,136718,749,0.25,0.89,568478,11,0
CR-1082,63788,617,0.39,0.92,479137,12,0
CR-1083,164192,674,0.49,0.84,582842,11,0
CR-1084,73571,801,0.44,0.7,233026,3,0
CR-1085,128984,749,0.33,0.69,675544,14,0
CR-1086,105888,795,0.23,0.81,278286,12,1
CR-1087,57436,648,0.37,0.94,641652,1,1
CR-1088,57507,696,0.26,0.73,430693,10,1
CR-1089,114717,820,0.2,0.68,574495,3,0
CR-1090,49851,588,0.56,0.69,358938,16,1
CR-1091,155333,611,0.31,0.63,671235,14,0
CR-1092,144899,598,0.47,0.9,513257,3,1
CR-1093,68913,744,0.29,0.63,684973,8,1
CR-1094,65589,572,0.38,0.84,743218,20,0
CR-1095,72682,631,0.49,0.84,332081,12,1
CR-1096,147334,724,0.53,0.87,370555,7,0
CR-1097,44051,601,0.42,0.77,479023,14,0
CR-1098,60413,715,0.52,0.88,249449,12,0
CR-1099,45280,566,0.45,0.73,687730,7,1
CR-1100,50627,811,0.37,0.85,406891,6,0
CR-1101,151303,718,0.37,0.97,464143,7,1
CR-1102,141063,768,0.31,0.67,204069,18,1
CR-1103,91013,682,0.49,0.91,342331,19,0
CR-1104,148394,792,0.28,0.78,324377,8,1
CR-1105,73514,700,0.4,0.96,323740,16,0
CR-1106,59729,589,0.41,0.66,355638,2,1
CR-1107,118754,769,0.51,0.69,338086,8,0
CR-1108,135331,586,0.34,0.76,198358,9,0
CR-1109,51245,649,0.3,0.92,256904,16,1
CR-1110,91394,619,0.52,0.77,703861,16,1
CR-1111,118846,749,0.45,0.93,637171,2,0
CR-1112,119619,755,0.54,0.67,428047,13,0
CR-1113,90007,691,0.56,0.85,239853,19,0
CR-1114,131441,727,0.37,0.9,646508,15,0
CR-1115,86568,652,0.45,0.77,424220,13,0
CR-1116,53658,666,0.56,0.8,320434,7,1
CR-1117,90602,744,0.47,0.74,562632,4,1
CR-1118,71172,696,0.44,0.64,605868,19,0
CR-1119,97153,800,0.44,0.82,749297,11,0
CR-1120,87233,783,0.46,0.72,198468,5,1
CR-1121,93646,709,0.33,0.91,440646,18,0
CR-1122,142788,714,0.26,0.84,247875,19,0
CR-1123,101627,583,0.52,0.67,195733,19,1
CR-1124,112104,699,0.34,0.61,361631,2,0
CR-1125,133211,648,0.28,0.69,427845,0,0
